rank,ts_code,name,strategy_tag,price,dividend_yield_ttm,hist_yield_max,hist_yield_max_date,hist_yield_max_ttm_cash,hist_yield_max_close,hist_yield_obs,yield_pctile_all,yield_pctile_1y,yield_pctile_2y,yield_pctile_5y,yield_pctile_10y,yield_to_hist_max,current_ttm_cash_to_peak,yield_position_label,yield_valuation_hint,list_date,last_div_date
13,513950.SH,富国恒生港股通高股息低波动ETF(QDII),高股息 / 港股通高股息,1.154,0.054766031195840566,0.0634936211972522,20240816,0.0647,1.019,683,0.9824304538799414,1.0,0.9752066115702479,0.9824304538799414,0.9824304538799414,0.8625438298077518,0.9768160741885628,股息率历史高位,股息率高位，偏便宜信号,20230428,20260626
14,159207.SZ,广发中证智选高股息策略ETF,高股息,1.058,0.051606805293005674,0.051606805293005674,20260630,0.0546,1.058,132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,样本较短,样本较短，仅供参考,20250409,20251210
15,159209.SZ,招商中证全指红利质量ETF,红利质量,1.063,0.03386641580432738,0.03386641580432738,20260630,0.036000000000000004,1.063,232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,样本较短,样本较短，仅供参考,20250325,20260615
16,520900.SH,广发中证国新港股通央企红利ETF,央企红利,0.917,0.03936750272628135,0.03936750272628135,20260630,0.0361,0.917,371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20240710,20260519
17,515300.SH,嘉实沪深300红利低波动ETF,红利低波,1.182,0.03900169204737733,0.19843517138599107,20241205,0.26630000000000004,1.342,610,0.02459016393442623,0.06172839506172839,0.030991735537190084,0.02459016393442623,0.02459016393442623,0.1965462663446503,0.1731130304168231,股息率历史低位,低分位主要由TTM分红下降驱动,20190919,20251215
18,159547.SZ,华夏中证红利低波动ETF,中证红利 / 红利低波,1.089,0.02203856749311295,0.02203856749311295,20260630,0.024,1.089,186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,样本较短,样本较短，仅供参考,20240206,20260615
19,510720.SH,国泰上证国有企业红利ETF,红利/股息,0.902,0.041019955654102,0.05,20250513,0.0477,0.954,507,0.6923076923076923,0.654320987654321,0.6776859504132231,0.6923076923076923,0.6923076923076923,0.8203991130820399,0.7756813417190777,股息率中高位,股息率中位区间,20240515,20260615
20,562060.SH,华宝标普中国A股红利机会ETF,A股红利,0.567,0.04268077601410935,0.12187500000000001,20250930,0.0702,0.576,406,0.7019704433497537,0.7901234567901234,0.7019704433497537,0.7019704433497537,0.7019704433497537,0.35020123909012796,0.34472934472934474,股息率中高位,股息率中位区间,20231228,20250930
21,563700.SH,易方达中证红利价值ETF,中证红利 / 红利价值,0.98,0.041836734693877546,0.041836734693877546,20260630,0.040999999999999995,0.98,234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,样本较短,样本较短，仅供参考,20250428,20260414
22,159581.SZ,万家中证红利ETF,中证红利,0.958,0.0396659707724426,0.045364891518737675,20250527,0.046000000000000006,1.014,504,0.7361111111111112,0.6872427983539094,0.7252066115702479,0.7361111111111112,0.7361111111111112,0.8743759644186259,0.8260869565217391,股息率中高位,股息率中位区间,20240315,20260616
23,513820.SH,汇添富中证港股通高股息投资ETF,高股息 / 港股通高股息,1.103,0.04197642792384407,0.04640638864241349,20260625,0.052300000000000006,1.127,467,0.9935760171306209,0.9876543209876543,0.9935760171306209,0.9935760171306209,0.9935760171306209,0.9045398522021465,0.8852772466539197,股息率历史高位,股息率高位，偏便宜信号,20240516,20260624
24,560150.SH,泰康中证红利低波动ETF,中证红利 / 红利低波,1.023,0.043108504398826984,0.043108504398826984,20260630,0.0441,1.023,293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20240408,20260421
25,159589.SZ,广发中证红利ETF,中证红利,0.98,0.026734693877551022,0.026734693877551022,20260630,0.0262,0.98,473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20240326,20260615
26,159691.SZ,工银瑞信中证港股通高股息精选ETF,高股息 / 港股通高股息,1.086,0.01141804788213628,0.01141804788213628,20260630,0.0124,1.086,248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,样本较短,样本较短，仅供参考,20230421,20260624
27,520660.SH,南方中证国新港股通央企红利ETF,央企红利,0.912,0.043859649122807015,0.043859649122807015,20260630,0.04,0.912,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,股息率历史高位,股息率高位，偏便宜信号,20240710,20260415
28,513690.SH,博时恒生港股通高股息率ETF,高股息 / 港股通高股息,1.013,0.011154985192497533,0.01841860465116279,20251217,0.019799999999999998,1.075,853,0.7057444314185228,0.9958847736625515,0.9896694214876033,0.7057444314185228,0.7057444314185228,0.6056368223199419,0.5707070707070707,股息率中高位,股息率中位区间,20210520,20251217
29,513920.SH,华安恒生港股通中国央企红利ETF,央企红利,1.42,0.03309859154929578,0.04972375690607736,20260116,0.08100000000000002,1.629,348,0.5172413793103449,0.30864197530864196,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.6656494522691705,0.5802469135802468,股息率中位,股息率中位区间,20240105,20260116
