end_date,revenue,profit_owner,cfo,dividend_paid,buyback,shareholder_return,cash_like,total_liabilities,cash_to_liab,cfo_to_profit,ts_code,name
20210331,3039825098.8,68790045.38,351472328.9,,,0.0,500268803.44,920570901.18,0.5434332138879785,5.109348699487659,00320.HK,金宝通
20220331,3393939789.31,68308939.27,-124671701.24,40522114.65,,40522114.65,282581836.32,1143585736.76,0.2471015746668974,-1.8251154617877878,00320.HK,金宝通
20230331,3680892453.24,19700226.64,275846068.05,35034783.61,,35034783.61,270042099.75,1416339845.56,0.19066193794980704,14.0021773906861,00320.HK,金宝通
20240331,3660483907.9,76850056.6,305455676.65,16039589.15,3238196.6,19277785.75,206153096.2,1120940916.05,0.18391076036946488,3.974696833860237,00320.HK,金宝通
20250331,3688182378.0,85455903.66,256615029.42,38478319.68,1229209.56,39707529.24,198309707.19,1297642018.65,0.152823124051047,3.0028941059588345,00320.HK,金宝通
20211231,1224584000.0,82753000.0,-86055000.0,,,0.0,1087296000.0,1126933000.0,0.9648275452045507,-1.0399018766691237,02210.HK,京城佳业
20221231,1567164000.0,114200000.0,116097000.0,25744000.0,,25744000.0,1140733000.0,1397087000.0,0.816508206002919,1.0166112084063048,02210.HK,京城佳业
20231231,1829381000.0,113594000.0,39896000.0,32286000.0,,32286000.0,1105235000.0,1512214000.0,0.7308720855646093,0.3512157332253464,02210.HK,京城佳业
20241231,1983611000.0,79671000.0,230053000.0,31667000.0,,31667000.0,1283012000.0,1641938000.0,0.7814010029611349,2.887537497960362,02210.HK,京城佳业
20251231,2292046000.0,51975000.0,71301000.0,21515000.0,,21515000.0,1220223000.0,1637797000.0,0.7450392203673594,1.3718326118326118,02210.HK,京城佳业
20211231,1230050000.0,280609000.0,462514000.0,43542000.0,,43542000.0,2899610000.0,616234000.0,4.705371660765229,1.6482507688634362,00606.HK,中骏商管
20221231,1182371000.0,208069000.0,108998000.0,88550000.0,,88550000.0,1227290000.0,596984000.0,2.055817241333101,0.5238550673094021,00606.HK,中骏商管
20231231,1247682000.0,257048000.0,215413000.0,,188763000.0,188763000.0,1157372000.0,719886000.0,1.6077156660915757,0.8380263608353303,00606.HK,中骏商管
20241231,1212949000.0,56957000.0,277119000.0,,,0.0,1299809000.0,778521000.0,1.669587589801688,4.865407237038467,00606.HK,中骏商管
20251231,1192737000.0,57916000.0,146504000.0,,,0.0,1331659000.0,735636000.0,1.8102145626369563,2.529594585261413,00606.HK,中骏商管
20211231,1953944000.0,94307000.0,333369000.0,,,0.0,770343000.0,1230175000.0,0.6262060275976995,3.534933780101159,03689.HK,康华医疗
20221231,1845633000.0,59697000.0,221404000.0,,,0.0,754337000.0,1204806000.0,0.6261066096948389,3.7087960869055396,03689.HK,康华医疗
20231231,2041858000.0,121062000.0,204195000.0,,,0.0,718521000.0,1127459000.0,0.6372923538683003,1.6866977251325768,03689.HK,康华医疗
20241231,2055670000.0,15337000.0,280132000.0,,,0.0,678404000.0,1279188000.0,0.5303395591578407,18.26511051705027,03689.HK,康华医疗
20251231,2024200000.0,99591000.0,282664000.0,49805000.0,,49805000.0,742176000.0,1152581000.0,0.643925242564297,2.838248436103664,03689.HK,康华医疗
20211231,394801052.8,-159206342.4,-22346643.2,13852596.8,,13852596.8,961478795.2,1669814731.2,0.575799684381177,0.1403627698691481,00184.HK,激成投资
20221231,1276918745.76,68158287.54,278513546.57,63157762.08,,63157762.08,1198115359.63,1860904727.5,0.6438348733949358,4.086275589106445,00184.HK,激成投资
20231231,1575331161.88,199056660.32,313111697.08,107747745.56,,107747745.56,1369930961.56,1863495528.58,0.7351404607897822,1.5729777470226172,00184.HK,激成投资
20241231,1566880978.92,236918999.64,259428253.92,188078724.0,,188078724.0,1410966402.24,1758569406.84,0.8023376255449519,1.0950082277664643,00184.HK,激成投资
20251231,1459985582.06,232558375.94,286780478.98,152122118.84,,152122118.84,1220755119.98,1772934150.88,0.6885507391089936,1.2331548060603472,00184.HK,激成投资
20211231,1430154096.0,153328616.0,65248568.0,42865132.8,,42865132.8,730423400.0,1344762316.8,0.5431617103445593,0.4255472311835124,01522.HK,京投交通科技
