ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
01150.HK,0.088,14,10828.107142857143,4100.0
01152.HK,0.39,19,7147837.578947368,5965760.0
01153.HK,0.32,20,44343.75,19925.0
01156.HK,0.218,20,254343.8855,201600.0
01157.HK,8.0,20,69667909.889,62614566.0
01159.HK,2.92,20,895006.2449999999,583050.0
01160.HK,0.45,8,194000.0,192000.0
01161.HK,1.16,20,336143.0,225190.0
01162.HK,0.185,20,405214.8,121164.0
01163.HK,0.182,16,29528.59375,19672.5
01164.HK,2.9,20,143043856.051,113180816.13
01166.HK,0.195,19,50313.398368421054,33500.191
01167.HK,4.41,20,14672822.635999998,13952477.719999999
01168.HK,2.9,20,683386.2975,508925.0
01170.HK,0.48,10,99075.0,35295.0
01171.HK,12.52,20,711432468.0615,533496315.005
01172.HK,0.018,12,9355.666666666666,5500.0
01173.HK,0.027,8,9850.46075,5180.0
01176.HK,0.015,20,52902.2,23933.0
01177.HK,4.58,20,427296936.53400004,408970460.63
01179.HK,33.7,20,84765942.7865,77675255.18
01180.HK,0.73,20,900301.3324999999,513155.5
01181.HK,0.11,18,41996.166666666664,28080.0
01182.HK,0.85,18,67019.875,46889.5
01183.HK,0.142,20,66886.85,57929.75
01184.HK,6.35,20,1409199.6195,887500.0
01186.HK,4.89,20,36144077.879,33564784.620000005
01187.HK,27.42,20,12136273.77,7569172.0
01193.HK,15.96,20,85600912.272,85729673.79
01195.HK,0.014,14,14590.539285714285,11120.0
01196.HK,10.75,20,23119192.395,18521370.0
01198.HK,0.09,13,4869.2692307692305,1620.0
01199.HK,4.73,20,15925310.550999999,13970011.01
01200.HK,2.53,20,5197484.4095,4322635.0
01201.HK,2.27,20,1376343.55,952215.0
01202.HK,1.54,20,685467.0,524730.0
01203.HK,0.67,17,120652.59294117648,35990.08
01204.HK,1.58,9,254508.88888888888,103580.0
01205.HK,0.495,20,4556307.25,4560477.0
01206.HK,0.225,18,79444.33333333333,66514.0
01208.HK,8.25,20,475432582.0935,356106064.04499996
01209.HK,38.84,20,248087914.7115,247541494.1
01211.HK,80.85,20,2417732052.6979,2278937562.6549997
01213.HK,0.52,11,35615.454545454544,26000.0
01215.HK,0.022,19,57703.73684210526,50420.0
01216.HK,0.29,20,332826.25,133062.5
01217.HK,0.011,20,114611.10419999999,72728.0
01218.HK,2.4,11,152281.0509090909,50344.16
01221.HK,1.56,10,17597.733,11037.25
01222.HK,0.02,20,46054.3361,22392.0
01223.HK,1.27,20,3610187.8225000002,3598200.0
01224.HK,1.31,13,1301643.076923077,39920.0
01225.HK,0.28,13,37476.692307692305,24750.0
01226.HK,1.0,11,50232.4,35600.0
01228.HK,1.99,19,1064838.4210526317,755650.0
